year,racenumber,gp,Toro Rosso,Force India,Ferrari,Marussia,Williams,McLaren,Caterham,Mercedes,Red Bull,Renault,Sauber,team,age,driver,Track Type,p1,p2,p3,avgprac,qual,grid,avgstart,pteam,teampts,pdriver,driverpts,pit stops,dnf,points,podium,finish
2014,1,australia,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,1,1,3,3,2.333333333,5.00,5.00,5.00,12,18,10,12,2,0,1,0,4.0
2014,2,malaysia,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,1,11,5,7,7.666666667,4.00,4.00,4.00,15,12,11,12,3,0,1,0,4.0
2014,3,bahrain,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,1,3,3,7,4.333333333,10.00,9.00,9.50,13.5,3,11.5,2,3,0,1,0,9.0
2014,4,china,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,1,1,2,21,8,5.00,5.00,5.00,8.25,19,6.75,15,2,0,1,1,3.0
2014,5,spain,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,1,4,4,3,3.666666667,7.00,7.00,7.00,13.625,14,10.875,8,3,0,1,0,6.0
2014,6,monaco,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,0,4,1,5,3.333333333,5.00,5.00,5.00,13.8125,12,9.4375,12,1,0,1,0,4.0
2014,7,canada,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,0,1,5,4,3.333333333,7.00,7.00,7.00,12.90625,9,10.71875,8,2,0,1,0,6.0
2014,8,austria,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,1,3,3,6,4,4.00,4.00,4.00,10.953125,11,9.359375,10,2,0,1,0,5.0
2014,9,greatbritan,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,1,3,3,20,8.666666667,18.00,16.00,17.00,10.9765625,8,9.6796875,8,1,0,1,0,6.0
2014,10,germany,0,0,1,0,0,0,0,0,0,0,0,Ferrari,32,alonso,1,3,9,3,5,7.00,7.00,7.00,9.48828125,10,8.83984375,10,3,0,1,0,5.0
